"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleCondition","SalePrice"
"1",1,"2-STORY 1946 and NEWER","Residential Low Density",65,8450,"Regular","Inside lot","College Creek","Single-family Detached","Two story",7,5,2003,2003,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",196,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",706,"Unfinished",0,150,856,"Excellent",856,854,0,1710,1,0,2,1,3,1,8,0,"No Fireplace","Attached to home",2003,"Rough Finished",2,548,0,61,0,0,0,0,"No Fence",0,2,2008,"Normal Sale",208500
"2",2,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",80,9600,"Regular","Frontage on 2 sides of property","Veenker","Single-family Detached","One story",6,8,1976,1976,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Good Exposure",978,"Unfinished",0,284,1262,"Excellent",1262,0,0,1262,0,1,2,0,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1976,"Rough Finished",2,460,298,0,0,0,0,0,"No Fence",0,5,2007,"Normal Sale",181500
"3",3,"2-STORY 1946 and NEWER","Residential Low Density",68,11250,"Slightly irregular","Inside lot","College Creek","Single-family Detached","Two story",7,5,2001,2002,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",162,"Good","Poured Contrete","Good (90-99 inches)","Mimimum Exposure",486,"Unfinished",0,434,920,"Excellent",920,866,0,1786,1,0,2,1,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",2001,"Rough Finished",2,608,0,42,0,0,0,0,"No Fence",0,9,2008,"Normal Sale",223500
"4",4,"2-STORY 1945 and OLDER","Residential Low Density",60,9550,"Slightly irregular","Corner lot","Crawford","Single-family Detached","Two story",7,5,1915,1970,"Gable","Wood Siding","Wd Shng","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",216,"Unfinished",0,540,756,"Good",961,756,0,1717,1,0,1,0,3,1,7,1,"Good - Masonry Fireplace in main level","Detached from home",1998,"Unfinished",3,642,0,35,272,0,0,0,"No Fence",0,2,2006,"Abnormal Sale -  trade, foreclosure, short sale",140000
"5",5,"2-STORY 1946 and NEWER","Residential Low Density",84,14260,"Slightly irregular","Frontage on 2 sides of property","Northridge","Single-family Detached","Two story",8,5,2000,2000,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",350,"Good","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",655,"Unfinished",0,490,1145,"Excellent",1145,1053,0,2198,1,0,2,1,4,1,9,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",2000,"Rough Finished",3,836,192,84,0,0,0,0,"No Fence",0,12,2008,"Normal Sale",250000
"6",6,"1-1/2 STORY FINISHED ALL AGES","Residential Low Density",85,14115,"Slightly irregular","Inside lot","Mitchell","Single-family Detached","One and one-half story: 2nd level finished",5,5,1993,1995,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Wood","Good (90-99 inches)","No Exposure",732,"Unfinished",0,64,796,"Excellent",796,566,0,1362,1,0,1,1,1,1,5,0,"No Fireplace","Attached to home",1993,"Unfinished",2,480,40,30,0,320,0,0,"Minimum Privacy",700,10,2009,"Normal Sale",143000
"7",7,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",75,10084,"Regular","Inside lot","Somerset","Single-family Detached","One story",8,5,2004,2005,"Gable","Vinyl Siding","Vinyl Siding","Stone",186,"Good","Poured Contrete","Excellent (100+ inches)","Average Exposure (split levels or foyers typically score average or above)",1369,"Unfinished",0,317,1686,"Excellent",1694,0,0,1694,1,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2004,"Rough Finished",2,636,255,57,0,0,0,0,"No Fence",0,8,2007,"Normal Sale",307000
"8",8,"2-STORY 1946 and NEWER","Residential Low Density",69,10382,"Slightly irregular","Corner lot","Northwest Ames","Single-family Detached","Two story",7,6,1973,1973,"Gable","Hard Board","Hard Board","Stone",240,"Average/Typical","Cinder Block","Good (90-99 inches)","Mimimum Exposure",859,"Below Average Living Quarters",32,216,1107,"Excellent",1107,983,0,2090,1,0,2,1,3,1,7,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1973,"Rough Finished",2,484,235,204,228,0,0,0,"No Fence",350,11,2009,"Normal Sale",200000
"9",9,"1-1/2 STORY FINISHED ALL AGES","Residential Medium Density",51,6120,"Regular","Inside lot","Old Town","Single-family Detached","One and one-half story: 2nd level finished",7,5,1931,1950,"Gable","Brick Face","Wd Shng","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,952,952,"Good",1022,752,0,1774,0,0,2,0,2,2,8,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Detached from home",1931,"Unfinished",2,468,90,0,205,0,0,0,"No Fence",0,4,2008,"Abnormal Sale -  trade, foreclosure, short sale",129900
"10",10,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Residential Low Density",50,7420,"Regular","Corner lot","Brookside","2fmCon","One and one-half story: 2nd level unfinished",5,6,1939,1950,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",851,"Unfinished",0,140,991,"Excellent",1077,0,0,1077,1,0,1,0,2,2,5,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1939,"Rough Finished",1,205,0,4,0,0,0,0,"No Fence",0,1,2008,"Normal Sale",118000
"11",11,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",70,11200,"Regular","Inside lot","Sawyer","Single-family Detached","One story",5,5,1965,1965,"Hip","Hard Board","Hard Board","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",906,"Unfinished",0,134,1040,"Excellent",1040,0,0,1040,1,0,1,0,3,1,5,0,"No Fireplace","Detached from home",1965,"Unfinished",1,384,0,0,0,0,0,0,"No Fence",0,2,2008,"Normal Sale",129500
"12",12,"2-STORY 1946 and NEWER","Residential Low Density",85,11924,"Slightly irregular","Inside lot","Northridge Heights","Single-family Detached","Two story",9,5,2005,2006,"Hip","Wood Shingles","Wd Shng","Stone",286,"Excellent","Poured Contrete","Excellent (100+ inches)","No Exposure",998,"Unfinished",0,177,1175,"Excellent",1182,1142,0,2324,1,0,3,0,4,1,11,2,"Good - Masonry Fireplace in main level","Built-In (Garage part of house - typically has room above garage)",2005,"Finished",3,736,147,21,0,0,0,0,"No Fence",0,7,2006,"Home was not completed when last assessed (associated with New Homes)",345000
